"","BLM_Name","Address_1","Address_2","City","State","Zip_Code","Latitude","Longitude","Phone_Number","Description","Directions","Activities","address","ContactRegion","CAMPING","WATER SPORTS","ENVIRONMENTAL EDUCATION","NON-MOTORIZED BOATING","DAY USE AREA","PADDLE BOATING","WATER ACCESS","RAFTING","WHITEWATER RAFTING","BIRDING","BACKPACKING","INTERPRETIVE PROGRAMS","WILDLIFE VIEWING","FISHING","BOATING","HORSEBACK RIDING","HIKING","OFF HIGHWAY VEHICLE","RECREATIONAL VEHICLES","SENIC DRIVE","PHOTOGRAPHY","CLIMBING","HUNTING","WILDERNESS","INFORMATION SITE","PICNICKING","attraction","contactRegion","Description_Length","Description_Length_Words","Direction_Length","Direction_Length_Words"
"80","Lowry Pueblo National Historic Landmark ","Canyons of the Ancients National Monument Visitor Center and Museum"," County Road 7.25","Pleasant View","Colorado","81331",37.58476,-108.9201,"970-882-5600","Visit a 1,000-year-old ancestral Puebloan site, which includes a 40-room village. The Lowry Pueblo site was first excavated in 1931 and became a National Historic Landmark in 1967. It is one of the most significant BLM archaeological sites in the Four Corners region, where Colorado, Utah, New Mexico, and Arizona meet. For more information please contact the Canyons of the Ancients National Monument Visitor Center and Museum.","From Cortez, travel about 18 miles north on U.S. Highway 491 (666) to the ""Pleasant View and Lowry"" sign (Rd. CC). Turn west (left) on Rd. CC and follow the signs.","HISTORIC & CULTURAL SITE PICNICKING","Canyons of the Ancients National Monument Visitor Center and Museum  County Road 7.25",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Normal",24,428,70,163,31
"81","Lunch loops Community Rec Area ","Grand Junction Field Office","2815 H Road","Grand Junction","Colorado","81506",39.047,-108.606,"970-244-3000","The Lunch Loops provides non-motorized mixed use trail opportunities (mountain biking, hiking, trail running), accommodating a range of skill levels. This area is easily accessed from Grand Junction and provides outstanding views of the Grand Valley. For a map please visit: http://www.copmoba.org/trail-map-pdfs","From Grand Junction, travel west on Hwy 340 and take a left onto Monument Road and travel for approximately 1.8 miles. The trailhead (Tabeguache Trailhead) will be on your left.","BIKING HIKING DAY USE AREA","Grand Junction Field Office 2815 H Road",17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Normal",17,312,47,177,30
"82","Lyons Gulch Boat Launch ","Colorado River Valley Field Office","2300 River Frontage Road","Silt","Colorado","81652",39.69905,-107.07292,"(970) 876-9000","Lyons Gulch is a free BLM site featuring a boat launch, which includes a toilet and five campsites. Campsite #1 can accommodate larger groups.  The restroom is closed November 15th to May 15th.  Cat holes are not permitted due to the proximity to the river.  Do not camp in this location during heavy rains due to mud slides and flooding.  For more information, please contact the Colorado River Field Office.","Take the Dotsero exit off I-70 (exit 133). Head north on the Colorado River Road.  Lyons Gulch Recreation Site is 3.8 miles up on the right.","BOATING CAMPING","Colorado River Valley Field Office 2300 River Frontage Road",11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Boat Launch",11,409,70,140,27
"83","McCoy ","Colorado River Valley Field Office","2300 River Frontage Road","Silt","Colorado","81652",39.90545,-106.76515,NA,"The BLM trails near McCoy, CO are a fun playground for motorcyclists. The trails here are tough and remote so be careful. For more information, please contact the Colorado River Field Office.","From Wolcott, head north out of town on CO-131 N and follow approximately 20.0 miles to the trail access.","OFF HIGHWAY VEHICLE","Colorado River Valley Field Office 2300 River Frontage Road",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Normal",28,191,32,105,20
"84","McDonald Creek Trailhead ",NA,NA,"Mack","Colorado","81525",39.163,-109.031,"970-244-3000","Hike along a stream bed for several miles to the Colorado River in search of rock art sites among outstanding scenery. Please be considerate of this fragile desert canyon - All the rock art can be seen without leaving the trail. Binoculars are a very good way to see the rock art details. Please walk only in the streambed to help preserve the natural beauty and your sense of discovery of this area. The McDonald Creek Cultural Area is closed to camping and campfires and the trail is open to foot traffic only.","From Grand Junction, travel on I-70 west and take the exit to Rabbit Valley (2). Take a left and go over the interstate and straight into Rabbit Valley. Continue on the dirt road. Take a right at the first intersection and a left at the second intersection (you will see a sign about camping opportunities in Rabbit Valley at the second intersection) - from here, travel approximately 2.3 miles to the trailhead.","HISTORIC & CULTURAL SITE HIKING DAY USE AREA",NA,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Trail",17,512,92,412,72
"85","McInnis Canyons National Conservation Area ",NA,NA,"Fruita",NA,"81521",39.128,-108.886,"970-244-3000","McInnis Canyons National Conservation Area is one of BLM Colorado's premiere desert recreation areas. Hikers will be stunned by the red-rock cliffs of Black Ridge Canyons Wilderness while the Ruby-Horsethief River Corridor offers Class I and II flatwater boating nearby. The area also offers mountain biking at Mack Ridge/Kokopelli and off-highway vehicle trails in Rabbit Valley. The Trail Through Time, adjacent to an active dinosaur quarry, provides visitors a chance to learn about fossils and paleontological finds in the area. Find outstanding hiking and horseback riding at Devil's Canyon and Pollock Bench trailheads off of Kingsview Road outside of Fruita. To learn more, visit McInnis Canyons National Conservation Area.","McInnis Canyons National Conservation Area is accessible via a number of routes.","BIKING BOATING CAMPING HIKING HORSEBACK RIDING HUNTING OFF HIGHWAY VEHICLE WATER SPORTS WILDLIFE VIEWING WILDERNESS ENVIRONMENTAL EDUCATION PHOTOGRAPHY ACCESSIBLE FACILITY OR ACTIVITY HISTORIC & CULTURAL SITE",NA,17,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,"Normal",17,730,113,80,12
"86","Meeker Trails ","White River Field Office","220 E. Market Street","Meeker","Colorado","81641",40.051067,-107.920833,"970-878-3800","The town of Meeker is largely an agricultural community, located in the wide fertile valley of the White River in northwestern Colorado. Relatively isolated from other communities, it sits near the intersection of State Highway 13 and State Highway 64, on the north side of the White River and at the base of a long ridge, known locally as China Wall. Some of the trails go along this ridge. There are 11 miles of single-track trails that are open to hiking and biking. The trail system incorporates a number of new and existing trails developed by the local community and agencies. The surrounding area offers more recreational opportunities including high quality hunting and access to large and remote wilderness areas. For more information, please contact the White River Field Office.","Take State Highway 13 to the Town of Meeker. Travel north on 3rd Street for 8 blocks to where it ""t's"" with Sanderson Drive. Turn left on Sanderson Drive and travel approx. 1/4 mile to Sanderson Hill Park. There is parking, a restroom, a playground, a ball field, and a picnic shelter at this park. The trailhead is located in the back of this park with a kiosk and map.","BIKING CAMPING HIKING PICNICKING","White River Field Office 220 E. Market Street",23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"Trail",23,789,131,370,71
"87","Mica Mine/Rough Canyon ","Grand Junction Field Office","2815 H Road","Grand Junction","Colorado","81506",38.991,-108.62,"970-244-3000","Opportunities for hiking and outdoor classroom learning. Enjoy viewing of geology, plants, and wildlife in a natural landscape. Mica Mine is a 2.6 miles round trip within Ladder Canyon. Motorized and mechanized use is not allowed. Easy access from Grand Junction.","From Grand Junction take Hwy 340 west and take a left onto Monument Road. Take another left onto D road, which turns into Rosevale Road. Take a right onto Little Park Road and continue five miles to Bangs Canyon Trailhead on the left.","INTERPRETIVE PROGRAMS HIKING ENVIRONMENTAL EDUCATION","Grand Junction Field Office 2815 H Road",17,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Normal",17,263,41,234,43
"88","Mosquito Peaks ","Royal Gorge Field Office"," 3028 E. Main Street","Caсon City","Colorado","81212",39.3001,-106.183,"719-269-8500","This beautiful high-alpine tundra and Area of Critical Environmental Concern contains significant biodiversity. There are several small parcels of BLM land here, with unique geological formations and 18 rare plant species. This area is located near significant cultural attractions within the communities of Fair play (to the east) and Leadville (to the west). For more information, please contact the Royal Gorge Field Office.","Mosquito Peak is 2 miles north of Mosquito pass which connects Alma and Leadville. From the south it is 4.5 miles from the 285 Colorado 9 crossroads in Fairplay or 1 mile south of Alma. If you are coming from Fairplay, drive north 4.5 miles towards Alma on Colorado 9. Turn west onto Park County 12 towards Park City. Go through the town of Park City and continue on the road for another 2.5 miles and take the right fork in the road. The road is open for another 100 yards, park here at approximately 10,900 feet in the winter and in the summer to 11,520 feet.","CAMPING HIKING OFF HIGHWAY VEHICLE WILDLIFE VIEWING","Royal Gorge Field Office  3028 E. Main Street",14,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,"Normal",14,427,64,561,107
"89","Mount Garfield  ",NA,NA,"Palisade ","Colorado",NA,39.119,-108.389,"970-244-3000","Mount Garfield is an iconic landmark of the Grand Valley located near the town of Palisade. The hike is two miles one way with 2,000 feet of elevation change - The trails are steep and challenging but offer exceptional views. Expect the hike to take several hours to complete. Be prepared with plenty of water and sturdy footwear. Hiking poles can be very useful, especially for the decent.                                                                There are two different trails leading to the top of Mt. Garfield: The two mile long Mt. Garfield Trail is shorter but more strenuous while Gearhart Mine Trail is 2.5 miles to the top.","From Grand Junction, take I-70 east to the Palisade exit (#42), turn south (right) onto 37 3/10 Road, and go to the first road on the right immediately after crossing the irrigation canal (G 7/10 Road). Travel 1.5 miles to the end of the road and go through a tunnel that passes under I-70 (Use caution if there is water in the tunnel - it can deceptively deep). The trailhead is a short distance further.","HIKING PHOTOGRAPHY",NA,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"Normal",17,638,101,405,78
"90","Mountain Sheep Point Rec Site ","Tres Rios Field Office","29211 Highway 184","Dolores","Colorado","81323",37.79732,-108.8267,"970-882-7296","Mountain Sheep Point Rec Site, also known as ‘Dove Creek Pumps’ is approximately 19 miles downriver from Bradfield is the Mountain Sheep Point Recreation Site, which can be accessed by driving about 6 miles east from Dove Creek along gravel and dirt county roads. This site is used primarily as a river access point during 'boatable releases' on the Lower Dolores River and can be extremely busy during those periods. The rest of the year this site serves as a small day use site located with an extremely scenic portion of the Dolores River Canyon. Sheer Redrock cliffs and frequent appearances by bighorn sheep make this a great place to have a picnic lunch and dip your toes in the river. The site consists of a boat ramp, vault toilet, two picnic tables, one fire ring, interpretive panel, and parking. For more information, please contact the Tres Rios Field Office.","When traveling US Highway 491, turn east on CR J, just south of Dove Creek. Then turn north on CR 9, east on H, then north again on CR 10. Veer left at the ‘Y’ and follow the county road down into the canyon.","BOATING","Tres Rios Field Office 29211 Highway 184",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Recreation Site",26,871,150,208,44
"91","Mud Springs RMZ ","Tres Rios Field Office ","29211 Highway 184","Dolores","Colorado","81323",37.302292,-108.663872,"970-882-7296","The main recreational planning emphasis for the Mud Springs area is for motorized trails and rock crawling opportunities, though there are also about 4 miles of non-motorized trails as well. The motorized trails are converted full sized vehicle routes which access three 'Open' OHV play areas. Two of these open areas are for rock crawlers (super modified 4-wheel drive vehicles), and one is for ATV/UTVs. For more inrfomation, please contact the Tres Rios Field Office. 
","Mud Springs is located about 6 miles SW of Cortez. To get there from Cortez, travel south on Highway 491 about 2 miles to McElmo Canyon/County Road G. Turn east at the light and drive 2.75 miles to County Road 21. Turn south. The Mud Springs parking lot/Trailhead will be on the west side of the road after approximately .75 miles.
","OFF HIGHWAY VEHICLE","Tres Rios Field Office  29211 Highway 184",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"RMZ",26,472,78,332,63
"92","Muddy Creek Fishing Access and Kremmling Cliffs ","Kremmling Field Office","2103 East Park Avenue","Kremmling ","Colorado","80459",40.0873,-106.40762,"970-724-3000","Muddy Creek is a tributary of the Colorado River and provides anglers another great option to pursue both Rainbow and Brown trout in the Colorado River Basin. The creek is split in half by Wolford Reservoir and the most popular section to fish is the tailwater section below the dam. The majority of the river above the reservoir is privately owned. Below the dam, anglers have approximately 5 miles of river to explore. The river sits in a fairly wide open meadow and doesn't provide much protection from the elements. The trout in Muddy Creek grow to respectable sizes and 14""-16"" fish are not uncommon. Reports of fish much larger than that below the dam are somewhat frequent as well. Trails offer access upstream and downstream for access to approximately 1.5 miles of Muddy Creek. There is a vault restroom at the parking area. For more Information, please contact the Kremmling Field Office.","Muddy Creek Fishing Access is located three miles north of Kremmling and east of U.S. Highway 40.  From the town of Kremmling, take Hwy 40 west for approximately three miles. Turn east following County Road 227 for 0.6 mile. At the top of the ridge, turn left on BLM Road 491, ending at the Muddy Creek Fishing Access parking area.","FISHING","Kremmling Field Office 2103 East Park Avenue",20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Fishing Access",20,898,154,331,60
"93","New Castle ","Colorado River Valley Field Office ","2300 River Frontage Road","Silt","Colorado","81352",39.592,-107.475,"970-876-9000","New Castle Extensive Recreation Management area is abundant in recreational opportunities. Mountain biking has become prevalent, though all trails are open to horseback and hikers as well. The Colorow trail is in the heart of the area, providing trail users beautiful views of the Grand Hogback and town of New Castle. Several miles of new trails were added to the system in 2017.  This area is also home to wildlife including mule deer, elk, foxes, and mountain lions. Trails are closed to bike use from December 1st to April 15th to protect these wintering animals. Located near the New Castle RMA is the Strom King Memorial Site. Storm King Memorial Trail is dedicated to the 14 brave firefighters who gave their lives fighting the South Canyon fire in 1994. For more information on this site click here, or please contact the Colorado River Valley Field Office.","There are two trailheads used to access the Colorow Trail. 

VIX Ranch Park Trailhead: Take exit 105 off I-70.  Turn north.  Continue north on Castle Valley Boulevard 1.5 miles.  Go past the schools on the right.  Take a right on Alder Avenue.  Turn right on N. Wildhorse Drive and continue up the hill to Vix Park.  Park here.  Ride on North Wildhorse to the west, take a right on Buckskin Circle and another right on Mustang Drive. At the end of Mustang Drive continue straight ahead and look for the Colorow Trailhead sign to access East Colorow. To access West Colorow take the Colorow connector trail to the west that travels behind the houses on your left. 

Alder Park/Loriat Loop Trailhead: Take exit 105 off I-70.  Turn north.  Continue north on Castle Valley Boulevard 1.5 miles.  Go past the schools on the right.  Take a right on Alder Avenue.  Park at Alder Park.  Ride from Alder Park west down Alder Avenue to Lariat Loop.  Turn right on Lariat Loop. Follow Lariat Loop to Lariat Trail to the Colorow Trailhead.","BIKING HIKING HORSEBACK RIDING WILDLIFE VIEWING","Colorado River Valley Field Office  2300 River Frontage Road",22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,"Normal",22,865,146,1026,182
"94","North Delta OHV Staging Areas ","Uncompahgre Field office","2465 South Townsend Avenue","Montrose","Colorado","81401",38.78578,-108.03173,"970-240-5300","The open area covers 8,560 acres about six miles northeast of Delta. While it's open to cross-country travel of all types, including biking and hiking, the heaviest increase in use is attributed to off-highway vehicles (OHVs) such as four-wheelers and side-by-sides.  When in the area of the western slope of Colorado take the time to visit the Delta OHV recreation area.  In this area, you don't have to stay on designated trails. It is wide open to off road travel.  Cross country or use the trails that are established in the area.  Just a 15 min drive from main street in Delta. North Delta OHV area is over 8500 acres of ""Open"" cross country riding opportunities for all uses (motorized and non-motorized).  Located minutes from Delta, CO. For more information, please contact the Uncompahgre Field Office.","From Grand Junction, head southeast along US 50 to the town of Delta. Head north from town on St92 to its intersection with State Highway 65. Take State Highway 65 north to Fairview Road (on the left. ) Follow Fairview Road to the parking lots in the OHV area.","OFF HIGHWAY VEHICLE","Uncompahgre Field office 2465 South Townsend Avenue",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"OHV",16,811,142,260,48
"95","North Desert ","North Fruita Desert","18 Road Trailhead","Loma","Colorado","81524",39.31006,-108.70579,"970-244-3000","The North Desert provides opportunities to participate in motorized OHV recreation (motorcycles, ATV, UTV, full-sized 4x4 vehicles) on a variety of routes designated for different uses that link the desert terrain on the north side of the Grand Valley from Grand Junction and Fruita to Rabbit Valley and the Utah Rims trails. There are multiple long-distance motorized loop opportunities. Travel is limited to designated trails.
","Multiple access points north of the Grand Valley.
","OFF HIGHWAY VEHICLE",NA,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Normal",17,429,67,50,8
"96","North Fruita Desert Campground ","2815 H Road",NA,"Grand Junction","Colorado","81506",39.334,-108.704,"970-244-3000","Overview
The North Fruita Desert campground is a mountain biker’s paradise with campsites situated at the heart of the famous ""18 Road"" trail system and within easy reach of the world-renowned Kokopelli Trail system.  Come to the North Fruita Desert for an active outing of riding and relaxing with family and friends.  Ride to the trails in just a few minutes from any of the campsites.  
The trail system and associated camping amenities provide great opportunities to experience the diverse desert terrain along the base of the Book Cliffs. Food, lodging and other amenities are available nearby in the City of Fruita. 
Your camping fees pay not only for campground maintenance and improvements, but also for trail construction and maintenance on the 18 Road trail system.
Recreation
The North Fruita Desert, also known as the 18 Road trail system, offers 33 miles of singletrack mountain bike trails along the base of the Book Cliffs, along with another 25 miles of mixed use singletrack in the Book Cliffs north of the campground.  The trails surrounding the campground provide a mix of fast and flowy to tight and technical riding opportunities  Easy access directly from your campsite makes riding from dawn to dusk a mountain biker's dream. The Edge Loop trails climb from the campground into the heart of the Book Cliffs Range, offering challenging long-distance loops and spectacular views of the Grand Valley and beyond. 

While mountain biking is the focus of this area, the North Fruita Desert Campground is within easy reach of hundreds of miles of routes for motorcycles, ATVs, side-by-sides and 4x4s in the desert country from the Utah-Colorado state line to Grand Junction.
Facilities
The campground is split into two distinct units – the Upper Campground and the Lower Campground. 
The Upper Campground contains 58 campsites, including two group sites (D9, D11), each with a fire ring, concrete picnic table and graveled parking spaces. The site size and parking capacity vary, so be sure to check site dimensions before making a reservation.  There are no constructed tent pads, but most sites have areas suitable for one or more tents. Vault toilets are within walking distance of the campsites. 
The Lower Campground contains 53 campsites, including one group site (G24), each with a fire ring, concrete picnic table, 12’ x 12’ tent pad and graveled parking spaces. Vault toilets are within walking distance of the campsites. The Lower Campground is integrated into an event staging area designed for hosting mountain bike and running events like races and festivals. During events, some campsites may be closed to accommodate event activities.
At both the upper and lower units there no water, electricity, or garbage collection service, so come prepared with plenty of water and trash bags. Additionally, campers will need to bring their own firewood, no firewood collection is allowed. Camping is limited to 14 days. Each individual site is limited to ten people and two vehicles. 
We try to have a volunteer campground host on site during the spring and fall seasons.  The host site is located at the north end of the upper campground.
Natural Features
The North Fruita Desert Campground is nestled among scattered juniper trees at the edge of the Book Cliffs mountain range which stretches for roughly 240 miles across eastern Utah and western Colorado, ending just north of Grand Junction. Steep sculpted slopes and sheer cliffs rise to the north of the campground.  The landscape slopes gradually to the south toward the Colorado River, forming the Grand Valley where the Colorado and Gunnison Rivers join at Grand Junction.

The campground offers expansive views of the distant San Juan and La Sal mountains, and the red rock canyon country of McInnis Canyons National Conservation Area and Colorado National Monument.  To the southeast lies Mount Garfield at the end of the Little Book Cliffs, and the western flanks of the 10,000 ft. Grand Mesa - the largest flat-topped mountain in the world. 

Vegetation here is sparse, with only occasional green-ups and wildflower blooms following wet weather.  Average annual precipitation is less than 10 inches. Temperature extremes range from below zero to 105 degrees Fahrenheit.  Temperatures are more moderate during the spring and fall. 

Contact Info
For facility specific information, please call (970) 244-3000.
Nearby Attractions
The North Fruita Desert Campground is just north of Fruita CO, which serves as a hub for outdoor recreation on nearby public lands including the red-rock canyons of Colorado National Monument, and the adjoining McInnis Canyons National Conservation Area (MCNCA) - home of the Kokopelli trail system, the Ruby-Horsethief section of the Colorado River, Black Ridge Canyons Wilderness and the Rabbit Valley recreation area. 
The Monument and NCAs along with the other public lands surrounding the Grand Valley - formed by the Colorado River flowing between Palisade to Loma - offer something for everyone, from scenic drives to hiking, horseback riding, biking, rafting, rock climbing, wildlife viewing, and off-roading.  The Grand Valley is also well-known for it's orchards, vineyards and wineries, and the distinct and vibrant communities of Palisade, Grand Junction, and Fruita.  
Charges & Cancellations
Changes may be made to your reservation until 24 hours before the reserved date.  A full refund, minus the $8 reservation fee, will be given if canceled 48 hours before the first reserved date. Please note, you cannot change your check-in date.  If you would like to change your check-in date, you will need to cancel your entire reservation and rebook.   
Refunds will not be given for undesirable weather or road conditions. 
","Take Interstate 70 west to Fruita (exit 19). Turn north onto Cherry Street and take the first right onto Aspen Avenue. Go through the roundabout and continue on Aspen to Maple Street. Take a left on Maple Street and then travel north. The street will turn into 17.5 Road. Take a right on N.3 Road and then a left on 18 Road. Travel approximately 7 miles on 18 Road to the trailhead, event area and lower campground. Continue 1.5 miles north to reach the upper campground loops. 
","CAMPING BIKING HIKING",NA,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Campground",17,5745,925,479,88
"97","North Sand Hills OHV Area ","Kremmling Field Office","2103 East Park Avenue","Kremmling","Colorado","80459",40.87415,-106.22282,"(970) 724-3000","Colorado's only open sand dune area for OHV recreation is situated at the eastern edge of North Park at the toe of the Medicine Bow Mountain Range. North Sand Hills provides unique riding opportunities for dirt bike, ATV, side- by-side and sand rail riders. Due to the area's extreme landscape, it is important to be prepared and alert when riding OHVs. The area also has connecting trails into the State Forest State Park and adjacent U.S. Forest Service lands, all while providing the scenic backdrop of the Park and Medicine Bow Mountain Ranges.

 A small campground of 13 individual pull-through units with picnic tables and fire rings and other dispersed camping sites are available within the area. Whip flags on vehicles are not required but are recommended. 

 The North Sand Hills Instant Study Area is adjacent within the OHV area. Colorado OHV registration is required on all non-licensed vehicles. The North Sand Hills ISA represents a Cold Climate Eolian sand deposit, which comprises three active dune areas in Colorado. The morphology here consists of two large, active parabolic dunes with small, internal dunes migrating up the windward slopes. Several archaeological sites have been discovered, increasing the historical and cultural values of the area. The area is very popular, especially on holiday weekends during the summer. The area is seasonally closed to motorized use from December 15 to April 15 annually. Drive safely and obey posted speed limits through camp areas. For more information, please contact the Kremmling Field Office. 
","The North Sand Hills OHV Area is located in Jackson County, approximately 11 miles northeast of Walden. From Walden, take Highway 125 north about 10 miles, then turn east on County Road 6. Continue about 3.5 miles, then turn right on county road 6N and go about 2 miles. Stage anywhere. the OHV Area is immediately adjacent to the ISA.","CAMPING OFF HIGHWAY VEHICLE","Kremmling Field Office 2103 East Park Avenue",9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"OHV",9,1562,252,335,60
"98","Oil Well Flats Rec Area ","Royal Gorge Field Office","3028 E. Main Street","Canon City","Colorado","81212",38.53657,-105.21895,"(719) 269-8500","Twelve miles of single-track trails invite trail users to Oil Well Flats with its spectacular views of the valley below and the Sangre De Cristo Mountain range in the distance. Some routes are shared with motorized travelers but most visitors come for mountain biking, dispersed camping, hiking, horseback riding and dog walking. The best time to visit is late September through May when temperatures are comfortable. Visitors share the area with cattle grazing in the meadows and occasionally wildlife and cattle walk the trails. Trailer parking is available in the second parking lot with vehicle parking at the first parking lot. Visitors are encouraged to use the suggested camping sites, marked with a camping symbol. A wet weather gate closes the area to motorized use during wet conditions. This gate location allows some parking for non-motorized trail users. For more information, please contact the Royal Gorge Field Office. ","LOCATION: 6.5 miles north of Canon City, Colorado.

From US Hwy 50 in Canon City, you can turn north at the Steinmeier traffic light (at Wal-Mart) or head North on Raynolds at the next traffic light. Travel north on either road as both will curve to the left and intersect Field Avenue. Turn north (right) on Field and travel on this two-lane road for about five miles. It will join Fremont County Road 9 (also called Red Canyon Road) at a ""Y"" intersection. From here, continue north for 3.5 miles to BLM road #5940 which will be on your right. Head up the steep grade to the parking area on your right. If you have a trailer, continue to the second parking area on the right.

","BIKING HIKING HORSEBACK RIDING","Royal Gorge Field Office 3028 E. Main Street",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"Normal",3,935,150,678,128
"99","Orchard Boat Ramp ","Gunnison Gorge National Conservation Area","2505 South Townsend Avenue","Montrose","Colorado","81401",38.767196,-107.90205,"970-240-5300","Orchard Boat Launch is the last public boater take-out on the Gunnison River before Confluence Park in Delta. These are calmer waters, however boaters need to be aware of private lands and potential river hazards before floating the river downstream of the NCA. For more information, please contact the Gunnison Gorge NCA or Uncompahgre Field Office.","XXX","BOATING","Gunnison Gorge National Conservation Area 2505 South Townsend Avenue",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Boat Launch",16,350,57,3,1
"100","Peach Valley OHV Staging Area ","Gunnison Gorge National Conservation Area","2505 South Townsend Avenue","Montrose","Colorado","81401",38.59579,-107.89249,"970-240-5300","The Flat Top-Peach Valley OHV Recreation Area (9,700 acres) is managed by the Bureau of Land Management for responsible motorized recreation.  The area offers 2,500+ acres of designated open play areas and over 75 miles of multiple use trails.

Open Play Area Regulations

Off-route travel is allowed ONLY for ATVs and UTVs 50"" or less (dirt bikes, mountain bikes, horses and hikers can go off-route as well).  No full size vehicles are allowed off a road.
	Know the boundaries of the Open Play Areas by looking at a map at trailhead kiosks.
Other Regulations

Outside of the Open Area, riders must stay on signed, designated trails.  Riding off-trail is subject to a citation.
	Camping is allowed at the Peach Valley Staging Area for 7 days/6 nights.
	No open wood fires are allowed.  Use gas stoves or the provided grills with charcoal.
	Pack out all trash!
	All OHV users must have a valid Colorado State Parks OHV sticker visibly displayed on their equipment.  Registration fees support trail maintenance and funded the construction of the Skills Course at Peach Valley!
COTrex provides up-to-date trails information and georeferenced location as you explore the National Conservation Area.  Download it for free at: https://trails.colorado.gov/

Report Illegal Dumping by calling: 970-240-5300.




","From Olathe, Colorado travel 4.5 miles east on Falcon Road to the staging area.From Montrose: Head northwest out of town on N Townsend Ave/US-50 W approximately 9.2 miles to Falcon Rd. Turn east at Falcon Rd and follow approximately 3.8 miles where it curves slightly left into Peach Valley Rd. Continue approximately 0.7 miles to trail access.","CAMPING OFF HIGHWAY VEHICLE","Gunnison Gorge National Conservation Area 2505 South Townsend Avenue",16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"OHV",16,1304,215,344,59
"101","Penitente Canyon ","San Luis Valley Field Office","1313 E. Hwy 160","Monte Vista","Colorado","81144",37.84181,-106.28002,"719-852-7074","If technical rock climbing is your type of adventure, then Penitente Canyon may have what you want. The canyon is known for its nearly 300 world class technical rock climbing routes. South-facing routes can be climbed year-round within the Recreation Area. Numerous Trails are also available for your enjoyment within Penitente Canyon SRMA. Other attractions include trout fishing in La Garita Creek and primitive camping. For more information, please contact the San Luis Valley Field Office.","From Highway 285 turn west on County Road G, travel about 6 miles to La Garita follow County Road 38A until you see the Penitente Canyon turn off on your right, less than a mile. 

From Del Norte travel northwest on Highway 112 to road 38A turn north, stay on 38 A until you see signs for Penitente Canyon, about 8 miles.

 
 
 
 
 
 
 
","BIKING CLIMBING CAMPING FISHING HIKING HORSEBACK RIDING","San Luis Valley Field Office 1313 E. Hwy 160",15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,"Normal",15,493,78,337,62
